name,reviews.rating,reviews.text,reviews.title
hyatt house seattle/downtown,5,"directly across space needle, chihuly and emp. loved the secured parking, worth the extra cost. would stay here again! everything was quick to access. the room itself was comfortable with a mini kitchen, and sitting area. having the tv rotate to either side of room was helpful. every staff member from front desk, maids, maintenancell were friendly and helpful. i felt safe and our stay was extremely comfortable. there is a mcdonald's across the street for those needing a quick bite, not a fan but it was nice to know it was there.only thing that could have oneimproved our stay was more time!",this is the one to stay at
hyatt house seattle/downtown,3,"i would not recommend this hotel, the staff were not helpful, we had issues with our bills and the front desk said they could not adjust. the power went out in the room and maintenance could not fix it, got ready in the dark with no power.",not impressed
hyatt house seattle/downtown,5,"the location next to the space needle, the vibrant colors in the interior, the complimentary breakfast, a full equipped kitchenette and above all the courteous staff- what could one ask for more. brilliant in all aspects.raj shankar g,thank you for choosing to stay at hyatt house during your recent trip to seattle and for taking the time to share your experience on tripadvisor. we value the feedback from our guests and are always striving to improve our guests stay. please let us know when you return as wed love to welcome you back as our guest.sarah junge",brilliant in all aspects
hyatt house seattle/downtown,3,"i really enjoyed the room and vibe at the hyatt house in seattle. it was a great hotel to chill out and get work done. we were able to work all day during a rainstorm and the room was comfortable and large enough for 2 people to never cross paths while working.my only complaint is that they checked me out early before my guest was ready and they woke him up and interrupted him 9 times between the time i left and he checked out. upon calling the hotel, the staff was very apologetic and gave him a nice bottle of wine to compensate for the miscommunication.",great hotel but with some hiccups
hyatt house seattle/downtown,1,"the hotel is well located for tourist attractions and check-in was easy. getting maid service of any kind was next to impossible. no one would take responsibility of any kind. i called corporate and they agreed and called the hotel. finally a general manager spoke with me and guaranteed my room would be cleaned between 9 am and 2 pm the next day when i was to attend a wedding. it didn't happen. bathroom trash really does need to be disposed of daily. both elevators broke during our stay and we never saw a repair person. so 6 flights of stairs every time. what was to have been a joyous occasion turned in to a very bad experience.dear travelingjeffry,thank you very much for taking the time to review your stay with us here at the hyatt house seattle. i am sorry that your stay did not go as planned and that your room was not serviced and the elevators were down for maintenance. i can see how this would be create a very bad experience or you while you were in town for a wedding. also that i did not get to speak with you in person while you were staying with us. if you choose to stay with us again and i hope you do give us another opportunity then please reach out to me directly and i will ensure your stay is wonderful. again i am sorry if we let you down this is the opposite of our purpose. sincerely,jonathan",your room will never be cleaned
hyatt house seattle/downtown,2,"we arrived quite early so weren't surprised that we couldn't check in. we were told the room was clean but hadn't been inspected yet. we took the shuttle to pike place market for a long lunch then put our 85-year-old mother in an uber to go back to the hotel. it still hadn't been inspected so she had to sit in the lobby till it was ready. we were thrilled with our view of emp, space needle and chihuly garden. we had a 1-bedroom suite which is just a regular room with a partial wall to separate the sofa bed from the queen beds. we slept 6 fairly comfortably. twice when we wanted to shuttle back to the hotel we couldn't get anyone at the front desk to pick up the phone. in the afternoon it took over an hour to finally get a shuttle and since it was a different driver he had a different pick-up place. we almost missed it but happened to look around the corner and half a block up then ran to catch it. after dinner when we again couldn't get through to the desk we called central reservations because they always answer the phone. they tried for 20 minutes to get through to our hotel and couldn't. they finally told us to take a taxi or an uber and we would be reimbursed. sure enough - standard practice. when we got back to the hotel the only person at the front desk told his sad story of being so tired and groggy because he had worked a graveyard shift the night before and was the only person at the desk for 2 hours. there was the shuttle driver sitting with nothing to do because if no one answers the phone and finds out where he needs to go he can't actually go anywhere. very frustrating! on the plus side - breakfast was very good. this place is way overpriced though (over 400 for one night) and not the standard one expects from a hyatt.dear jenh,thank you for taking the time to review the hyatt house seattle and thank you very much for the feedback. we will use your comments to improve our hotels operations. i am sorry that your room was not ready by the time you returned for your day out. also to hear your experience with our front desk and shuttle staff is disheartening. the issues you experience will be addressed. again i apologize that your stay did not go smoothly as it should have. i hope that you will give us another opportunity the next time you are in town and feel free to contact me directly so i can assist with your next stay personally. sincerely,jonathan","great view, comfortable room, grossly understaffed"
hyatt house seattle/downtown,5,"this is the most well run and cleanest of the hyatt house (hyatt place/hyatt regency) hotels i have stayed in. the entire staff is extremely friendly helpful. the breakfast is fantastic. freshly made omeletes and delicious buffet choices every morning, while other hyatts also have the same breakfast, this location goes above and beyond with the quality care they put into the service. it makes having to work while in seattle, a pleasure.darcie e,it was a pleasure to have you as our guest recently at the hyatt house seattle downtown and it is exciting to hear that you found the staff to be helpful and inviting. i will share your feedback with all of the team who has been consistently recognized as exceeding customer service standards. we appreciate the positive comments and will look forward to your future visits to seattle.sarah junge",most friendly staff cleanest hyatt!
hyatt house seattle/downtown,5,"new year's eve fireworks on the rooftop patio were fantastic! but so was the room, service, location, free breakfast, and shuttle to downtown locations! easy access to kid friendly science and pop culture museum, pike market, sculpture gardens and underground tour. the only place i'd ever stay in seattle with family!",the best location for families and fireworks!
hyatt house seattle/downtown,5,"staff were excellent and resolved a problem of my making at the check-in, in a very kind and efficient way. reception staff were very friendly and nothing was too much trouble for them. big thanks to rhona, amy and another lady on reception who's name i didn't get (sorry!) the room was superb, big, clean and with a fantastic view of the space needle and emp museum and park. the housekeeping staff obviously work hard in keeping the hotel in tip top order and it shows. can't fault any aspect of this hotel and i know where i'll be staying if i return to seattle.dear john m. thank you very much for the feedback and thank you for choosing the hyatt house seattle! i am very pleased that you enjoyed your stay and thought we were a top hotel! i will pass on to the front desk the kind words about them (i know they will appreciate it). we thank you for your business and we look forward to hosting you again!! most sincerely,jon m.",top hotel
hyatt house seattle/downtown,2,"when we booked the hotel we requested that we have a view of the space needle when i called the day before we left to confirm our stay the woman i spoke too specifically said she was going to be the one to assign the rooms would make sure we had a view we arrived and while we checked in the front desk man seemed bothered by us. we asked where we pull up for the bell hop to help us with our bags (we were in town for a book signing, so we had boxes of books, table decorations,gifts etc.) not to mention we were staying for a week so we had quite a few bags. we were told","close to everything, but customer service is not worth it."
hyatt house seattle/downtown,5,"dan at the desk was as usual very helpful, gary the van driver was fun. they took us to the conference center and when done picked us up.the view from the room is space needle. you pay a little more for the view but well worth it. easy 2 blocks to the needle and pacific center. good food within walking distance.johngraver,thank you for choosing to stay at hyatt house during your recent trip to seattle and for taking the time to share your experience on tripadvisor. we are thrilled to hear that you created wonderful memories throughout seattle and utilized the amenities within our beautiful new hotel. i will pass on your kind words to the staff, they will all be bursting with excitement knowing they made a difference. we are always trying to leave our guests with lasting memorable experiences. please let us know when you plan on returning to seattle as we would love to you welcome you as our guest again!sarah junge",another great stay.
hyatt house seattle/downtown,5,"i'm sure many people bill hyatt house downtown as a hip, penthouse style apt, where you can go out and see what makes seattle great, and it is. from my window on the 8th floor, you can overlook the space needle, museums below, giant artwork molds and the bustle of a city come alive with fun!for me though, it was all about winding down from a 13-week stint from my company, and meeting a friend, to start an adventure down the coast. i relished that i could bring up delicious sandwiches from the downstairs eatery, or go up on the rooftop and just hang out. i loved the view of the bay from my loft style suite, while reading a book. i liked curling up in their oh so comfy bed, with their plush pillows that were perfectly for resting and rejuvenating a weary soul.mostly, i loved the fact that i could just be. and i think that is the point of hyatt house. you make it what you want it. and its oh so easy to do that...dear sbtimetraveler,thank you very much for taking the time to write a review of our hotel and your stay here at the hyatt house seattle. we very much appreciate all the feedback we get. i am very happy to hear that you felt our hotels rooms were hip and what you were looking for, i am glad that you enjoyed the view of the space needle.these are the kind of reviews that we strive for. i hope the next time you are in the seattle area that you choose us again. we know you have a lot of choices. sincerely,jon",a place to wind down
hyatt house seattle/downtown,5,"setup and held a cyber symposium at the facility and was thrilled with the results. my people were able to concentrate on success while being treated to dedicated staff whose sole purpose seemed to be their comfort and needs. team building was enhanced and our deliverable s to management exceeded expectations. the facility provided all we needed for success. this is the second year for this event and we will definitely consider this facility for future engagements.james d,thank you for choosing to stay at hyatt house during your recent group and meeting to seattle and for taking the time to share your experience on tripadvisor. we are thrilled to hear that you created wonderful memories throughout seattle and utilized the amenities within our beautiful hotel. i will pass on your kind words to the staff, they will all be bursting with excitement knowing they made a difference. we are always trying to leave our guests with lasting memorable experiences. please let us know when you plan on returning to seattle as we would love to you welcome you and/or your group as our guest again!sarah junge",meeting was a success
hyatt house seattle/downtown,5,"my first time at the hyatt house and amazing little hotel within easy reach of slu, from check-in to check-out the staff were fantastic across house keeping, breakfast and evening bar staff. on the day of check-out the protests were causing havoc with uber/lyft and the hotels town car was busy so hotel quickly arranged for another service to come and pick me up so i did not miss my transatlantic flight. i'll definitely stay here again when next back in seattle. dear gareth99,thank you for completing our a tripadvisor review regarding your recent stay at our hotel and i am happy to hear we are a home away from home! please know that your feedback is extremely valuable to us and we will utilize your response to make every guest experience the best it can be. i greatly appreciate your kind words and they will be celebrated with the entire team. if i can be of any assistance to you, please contact me directly. we look forward to being of service to you in the near future. we thank you for your business! best regards, jonathan",home from home
hyatt house seattle/downtown,5,"the location is great. it is across the street from the seattle center therefore the space needle, pacific science center, the armory, emp, museum of pop culture, artists playground, etc. are very easy to get to. the rooms are suites. it seems the ones facing the space needle (01-10) are more spacious or the layouts seems more spacious. i had family in a 19 room, which was a corner and it had the same features but a smaller table/island and living space. the suites are well supplied with everything you would need and the front desk is more than happy to give you extra supplies.the staff at this hotel is excellent. they are accommodating and very considerate. they call it a continental breakfast but i think it is significantly better than that. it has several hot food options, which change everyday and there is a always an omelet bar. in your room, there is a note with the rush hours for the free breakfast. it is pretty accurate. they also have a great happy hour and coffee is always available downstairs. for picky kids or late night eats or when the armory is already closed, there is a 24 hour drive thru mcdonalds.the only issue i had with the location was the parking garage. the spaces are tight. and you are assigned a space when you check in. the garage is underneath the hotel (which is convenient) but to drive in and out you have to use a special garage key. however, with the monorail across the street you probably do not need car.",perfect hotel for families and large groups
hyatt house seattle/downtown,2,"not pleased. poor experience. will definitely stay somewhere else next time. 7 day/6 night stay...zero cleaning despite numerous requests, no fresh towels or linens entire week other than towels/soap/toilet paper we helped ourselves to from nearby cart. overflowing garbage cans were finally put in hallway day 4.dear robinsu9085vk,thank you very much for taking the time our of your day to review our hotel and share your stay with us. i very much appreciate the feedback and i am very sorry to hear about the poor costumer service you experienced. i assure you that your feedback is taken seriously and we will use it to better our hotels operations. i am happy to hear that you enjoyed our great location. please keep us in mind the next time you are in the seattle area. we would love to be given another opportunity to ensure you have a great stay. please feel free to reach out to me personally. we do appreciate your business. sincerely,jonathan",great location. poor customer service.
hyatt house seattle/downtown,5,"this hotel was great. the rooms were very spacious and clean. the shower was a nice walk in shower. it was nice and quiet. the staff was friendly. the continental breakfast was fantastic. the staff was friendly and willing to assist in any way possible. every time you walked by they looked up and said hello with a smile. i would highly recommend this hotel.savannah s,it was a pleasure accommodating you recently at the hyatt house seattle downtown and we sincerely appreciate the glowing review! i have shared your feedback with the team regarding your experience and will strive to make sure we are exceeding all of our guests expectations. please let us know when you visit next as we look forward to having you as our guest!sarah junge",amazing experience
hyatt house seattle/downtown,4,"just across the road from the space needle and the monorail.about 1 hour from the airport using city tansit and monorail.clean comfortable room.very nice breakfast included in the price.walkable to downtown or jump on the monorail. then a few minutes walk to the waterfront and pike market.an ideal tourist hotel.dear john c,thank you for taking the time to review the hyatt house hotel seattle on trip advisor. we appreciate all the feedback we can get. i am happy to hear that you enjoyed our hotel and its amazing location around from the space needle and monorail! we hope the next time you are in seattle you choose us again! sincerely, jonathan",good hotel in a great location
hyatt house seattle/downtown,1,"we had booked this hotel for two nights after our cruise in january . two months before we were to arrive our plane home was moved to an exceptionally early time. we decided we had to stay at an airport hotel in order to make our plane, since we had to be at the airport by 4:30am. i called to cancel the one night. imagine my surprise when hyatt raised the room rate for the remaining night 165. i questioned the reasoning and was told that even though we had until 24 hours before to cancel they treated the remaining night as a new reservation. we found a different hotel a block away and cancelled this entire reservation. beware!",angry cancelled stay
hyatt house seattle/downtown,4,"hotel was exemplary - apart from the food options the food really lets your hotel down - the choices variety were appalling - doughnuts for breakfast burgers pizzas for dinner - there needs to be more varietygene p,thank you for choosing to stay at hyatt house during your recent trip to seattle and for taking the time to share your experience on tripadvisor. we value the feedback from our guests and are always striving to improve our guests stay. please let us know when you return as wed love to welcome you back as our guest.sarah junge",hyatt house seattle review
hyatt house seattle/downtown,5,me and my boyfriend stayed there 4 nights while we were in town for my brothers wedding. we stayed in a suite with a view of the space needle. we loved it central location with plenty of attractions!thank you for taking the time to post this! we are of course delighted to hear that you enjoyed your time with us. it was our pleasure to have you as our guest and hope that it won't be the last time we have the privilege. cheers!,seattle for the weekend
hyatt house seattle/downtown,5,"awesome location, walking distance to great restaurants including space needle restaurant, spacious rooms with kitchen, hard working staff, shuttle to rail to take to the airport. when i come back to seattle i will stay at hyatt house again. hyatt brand speaks for it self. d",home a way from home
hyatt house seattle/downtown,2,"while the hotel is clean and in an excellent location, you will not get a good night's sleep here if you have neighbors above you who need to fulfill their 10,000 daily steps in the middle of the night. of the four nights we stayed here all four nights were full of different neighbors above us who for some reason need to walk back and forth around their room all night long, banging cabinets, doors, etc. complaints to the house host were not helpful at all. we never got a decent night sleep here. also, don't believe the shuttle stuff. we tried every day to get one, first being told just call 10 mins before you need one, then told you must come downstairs in person and wait, and oh by the way it would be a 40 min wait (when the shuttle only goes a 1 mile radius i do not understand). never was able to get a shuttle the entire time we were there. the staff at the morning buffet were wonderful, friendly, but the hot food was not hot, the selection was small. and lastly, take the stairs. the elevator is s-l-o-w. we often waited more than 5 minutes. i would not stay here again, mostly because of the noise factor.hello, julie!thank you for taking the time to share your experience with us. we are sorry to hear that you did not get a good nights sleep - that's the exact opposite of what we are shooting for! noise complaints are relatively uncommon for us, and we will investigate a bit to see if anything can be done about the particular room you stayed in. i am sorry too to hear of your experience with the shuttle. i know it seems crazy, but with traffic sometimes a shuttle run for several passengers within a mile can take much longer than expected. it sounds like we could have done a much better job communicating with you though. we appreciate the feedback and will certainly use it as a training opportunity internally. thank you again and we hope to have the chance to serve you again - with a good nights sleep!","be forewarned, ceilings are thin... you will hear neighbors"
hyatt house seattle/downtown,5,"new year's eve fireworks on the rooftop patio were fantastic! but so was the room, service, location, free breakfast, and shuttle to downtown locations! easy access to kid friendly science and pop culture museum, pike market, sculpture gardens and underground tour. the only place i'd ever stay in seattle with family!",the best location for families and fireworks!
hyatt house seattle/downtown,5,me and my boyfriend stayed there 4 nights while we were in town for my brothers wedding. we stayed in a suite with a view of the space needle. we loved it central location with plenty of attractions!thank you for taking the time to post this! we are of course delighted to hear that you enjoyed your time with us. it was our pleasure to have you as our guest and hope that it won't be the last time we have the privilege. cheers!,seattle for the weekend
hyatt house seattle/downtown,5,"i visited with my husband and 16 yr old daughter and best friend and her family. we each got suites with a view before an alaska cruise. the rooms are clean, large and well decorated-exceeded all expectations. the breakfast is good. not fantastic but a nice way to start the day. the super bar is friendly and reasonable-we did not try the food. the location is excellent-seattle is such a good walking city (this was our first time)- its walking distance from most places and still in a pretty quiet spot. our room had a view of the space needle. what makes this hotel exceptional is the staff. the people were simply fantastic-truly customer focused and just plain kind. we had booked the rooms nine months in advance at a 40 discount from the current rate . we were meeting other friends (mom and two teens) that had booked air bnb. by 11 pm they still had not been able to reach their host and were threatening sleeping in their car. because we had a suite that sleeps six, i asked them to stay in our room. i went to the front desk to explain the situation, ask for bedding -credit card in hand. they were wonderful. they saw how desperate we were, chuckled and smiled and asked what kind of bedding we needed and waved away my card (hope i am not getting anyone in trouble). the bedding was there in 10 min. ive never experienced such warm hospitality and i am truly grateful. thanks for a memorable and wonderful visit!",what a delight
hyatt house seattle/downtown,3,"despite booking the room type that you think you are getting online, you may find out that the room looks nothing like what you see in the pictures and what is described. the hotel is newer, in a great location and parking is more affordable than most hotels. if the room type is something that you look for in booking a hotel, then my suggestion is go in with low expectations. hello!thank you for taking the time to review our hotel. while we have a number of different room configurations, all of the photographs on our website are taken here at the hotel and are of the specific room types they advertise. it sounds like we made a mistake with your reservation, which is definitely not typical. i am so sorry that was your experience and hope to have a chance to serve you again in the future. please don't hesitate to reach out to us if you are coming back to seattle. we would be happy to take the time to double-check that your preferences are being honored, as is our standard operating procedure. thank you again and safe travels to you, wherever you go!",rooms
hyatt house seattle/downtown,5,"we stayed in the hyatt house for one night just before xmas. easy to get to via the link and then one stop on the monorail, we had asked for an early check in, and our room was ready on arrival at noon. the room itself was stunning, immaculately clean (as was the rest of the hotel) and well appointed. location was sensational (50 yards from the space needle and glass museum) and a 7 uber down to pike st market. breakfast was fine and checkout easy we left having had an excellent stay.",excellent stay.
hyatt house seattle/downtown,4,"pros: excellent location. directly across from seattle ctr. space needle was directly outside of my window which was a nice view. the room is nice and spacious. breakfast is good. the stop is nice and efficient. there's truly no reason to rent a car staying at this location. most things are within walking distance all within about a mile. and the hotel offer shuttle service within 1 mile. cons: my room was located directly off of the elevator which was allowed in the middle the night when people were getting back again. my son and myself are woke up each night due to the noise. the room was in need of some minor repairs which in my opinion should've been taken care of prior to the room being rented out. things such as some touch up paint, a broken doorstop on the floor which my son picked up and tried to eat with the screw hanging out of the bottom of it, and a broken hand rail inside the shower on the door which was left hanging. breakfast on the weekend as far as the omelette station goes is extremely slow because there is only one person making omelettes. we were told it would take 25 minutes and after 40 we still had not received our omelettes, nor did we ever receive our omelettes that day. we rented a car because it was our first time here. if you have to rent a car the parking garage is rather strange and the spots are tight. your spot is assigned so forewarning, there are some spots such as 19, you guessed it, my spot! which is ridiculous. this spot not only has a huge pile which lands right at your door so you can't get out and if they place ppl in the spots slightly behind you then you can't get out even in a small car because these spots are caddy corner/ next to this spot making it impossible to get out of unless you have a motorcycle......... and for al this hassle you pay 25 per night!!!!! lastly, i did not like how there are only two elevators with this hotel which are rather small which wouldn't be a problem if it were only the guest using but. the employees try to get on them with the guest with their cleaning carts, dirty linens, food carts, etc. so if you are a guest with luggage, wheelchair, stroller, etc. it is a very tight squeeze on the elevator. and the employees are insistent on getting on with you instead of waiting for the next one. many times we were cramped in the elevator due to this.","overall, very good just a few minor glitches"
hyatt house seattle/downtown,5,"from the minute i arrived it felt like i was staying at a friends, very warm and welcoming. great location and staff was friendly. told all my coworkers and recommended the hotel for them to stay in at their next visit to seattle!dear edwardo devinci,thank you for completing a tripadvisor review regarding your recent stay at our hotel. please know that your feedback is extremely valuable to us and we will utilize your response to make every guest experience the best it can be. i am glad to hear that you and your enjoyed the view and felt very warm and welcoming! this is our objective. we greatly appreciate your 5 star review it will be celebrated with the hotel. if i can be of any assistance to you, please contact me directly. we very much appreciate your business and hope to see you again soon! thank you for the recommend as well! sincerely,jon",hotel with a view
hyatt house seattle/downtown,4,"reasonably priced hotel with large rooms in downtown seattle. staff in reception were very helpful at all times. room - aparthotel style - cooker, dishwasher, fridge, microwave all available. bed was really comfy and the electric black out blinds were put to good use.food - breakfast was buffet style and good. there is an omelette bar but if you hit peak times you can be asked to wait 30 mins so plan around it. the restaurant is more bar food but had a reasonable selection and not too pricy. good selection of local craft beers and wines and if that is to your taste you will appreciate it.qfc - turn left exiting the hotel and three blocks away on mercer there is a large qfc where you can stock up on any possible groceries, toiletries, wines/beers you might need for your stay.location - pretty good overall about a 20 min walk and you are in the heart of downtown shopping macys, nordstrom, gap etc etci would stay here again without hesitation.",comfortable hotel- good location
hyatt house seattle/downtown,5,"this is really a prime location and i loved our view of the space needle from our room. rooms were very luxurious and comfortable. i ran a marathon on this stay and the hotel accommodated all the runners by providing breakfast earlier. breakfast was so yummy, and they have happy hour every day with half priced appetizers which are as big as meals. the only downside is the 25 charge for parking per daymichelle d,thank you for taking the time to submit such pleasant comments about us at the hyatt house seattle downtown. we are so ecstatic to hear you enjoyed our happy hour, morning breakfast spread, and unbeatable location next to the space needle. we look forward to hosting you in the future until then, happy travels!sarah junge",loved the room
hyatt house seattle/downtown,5,"great hotel, in a perfect location, right across from the space needle and museum of pop culture. included breakfast is fantastic, lots of variety and super friendly staff. studio room was spacious (2 queen beds and a sofa bed), kitchen and bathroom were nice sized and modern. there is underground parking, for about 30. it's about a 20-minute walk to pike place market.great hotel, i'd stay there again whenever in seattle.",awesome hotel. nice rooftop. great view. perfect location.
